"DATE","PRCP","TEMP","TMIN","TMAX","WIND"
1999-10-01,0.896287078185698,8.6053589266,3.6053589266,13.6053589266,4.0500600142
1999-10-02,0.193798912329835,9.5338879712,4.5338879712,14.5338879712,5.5516591722
1999-10-03,0.117054614484241,23.3258729428,18.3258729428,28.3258729428,5.4714193761
1999-10-04,0.896287078185698,8.6053589266,3.6053589266,13.6053589266,4.0500600142
1999-10-05,0.67249274538469,21.4173726272,16.4173726272,26.4173726272,7.547296213
1999-10-06,0.855058296401178,2.0178765524,-2.9821234476,7.0178765524,3.4337756243
1999-10-07,0.765459251877075,30.542430738,25.542430738,35.542430738,5.7980548411
1999-10-08,0.880737569747863,33.5139991622,28.5139991622,38.5139991622,7.47263418
1999-10-09,0.765459251877075,30.542430738,25.542430738,35.542430738,5.7980548411
1999-10-10,0.765459251877075,30.542430738,25.542430738,35.542430738,5.7980548411
1999-10-11,0.780470328248088,27.2163845412,22.2163845412,32.2163845412,3.316265329
1999-10-12,0.86325228700501,6.7351583298,1.7351583298,11.7351583298,5.5610958319
1999-10-13,0.144332556377222,28.3966410253,23.3966410253,33.3966410253,6.7845279509
1999-10-14,0.144283731557093,2.0083409455,-2.9916590545,7.0083409455,5.312120226
1999-10-15,0.0195341620705335,27.4063589238,22.4063589238,32.4063589238,4.0344304261
1999-10-16,0.144283731557093,2.0083409455,-2.9916590545,7.0083409455,5.312120226
1999-10-17,0.0195341620705335,27.4063589238,22.4063589238,32.4063589238,4.0344304261
1999-10-18,0.144283731557093,2.0083409455,-2.9916590545,7.0083409455,5.312120226
1999-10-19,0.0267657380255869,37.9728502408,32.9728502408,42.9728502408,7.3613076059
1999-10-20,0.894856196946133,31.671110224,26.671110224,36.671110224,6.1653537252
1999-10-21,0.0296507157791166,34.1800455097,29.1800455097,39.1800455097,6.4633542807
1999-10-22,0.894856196946133,31.671110224,26.671110224,36.671110224,6.1653537252
1999-10-23,0.68959556943687,18.9993249346,13.9993249346,23.9993249346,5.0196701656
1999-10-24,0.0917274265584452,8.8186461013,3.8186461013,13.8186461013,4.8880729924
1999-10-25,0.390346126594063,37.6637615729,32.6637615729,42.6637615729,5.4001629301
1999-10-26,0.11188105536293,27.8512068652,22.8512068652,32.8512068652,7.6448640316
1999-10-27,0.898766880429691,17.0244907867,12.0244907867,22.0244907867,6.4522871685
1999-10-28,0.231569971749061,35.7941637561,30.7941637561,40.7941637561,3.5070250214
1999-10-29,0.775987353771758,0.9590433352,-4.0409566648,5.9590433352,3.9029110451
1999-10-30,0.178950082193618,12.7465842944,7.7465842944,17.7465842944,4.8915804825
1999-10-31,0.898189445372181,6.5611076914,1.5611076914,11.5611076914,5.6448859693
1999-11-01,0.2728674192028,10.8036738168,5.8036738168,15.8036738168,6.5251957981
1999-11-02,0.804641613640877,38.8107101526,33.8107101526,43.8107101526,4.8998264149
1999-11-03,0.8661057007389,30.096738562,25.096738562,35.096738562,7.3258918321
1999-11-04,0.163054893166956,31.9979260303,26.9979260303,36.9979260303,6.6286603392
1999-11-05,0.845085677864876,11.2410148978,6.2410148978,16.2410148978,7.1193478357
1999-11-06,0.712964040697393,36.7510394379,31.7510394379,41.7510394379,6.7521330977
1999-11-07,0.194985513854252,13.1105804443,8.1105804443,18.1105804443,6.5591372661
1999-11-08,0.0110802454288829,25.9456691891,20.9456691891,30.9456691891,4.0421903513
1999-11-09,0.711842227885301,35.3100987244,30.3100987244,40.3100987244,3.1975986524
1999-11-10,0.182145424558284,36.517646024,31.517646024,41.517646024,3.6198543485
1999-11-11,0.401442012005094,17.1251687407,12.1251687407,22.1251687407,6.8381569483
1999-11-12,0.342410004132337,24.2396976147,19.2396976147,29.2396976147,5.2082417784
1999-11-13,0.818133263939154,22.6748009026,17.6748009026,27.6748009026,6.0329297914
1999-11-14,0.051747677604935,14.4083947968,9.4083947968,19.4083947968,3.4238079127
1999-11-15,0.497350825702619,33.0936902296,28.0936902296,38.0936902296,6.5343818192
1999-11-16,0.805298586277914,9.5434650779,4.5434650779,14.5434650779,6.6577832559
1999-11-17,0.74533066559458,4.009728739,-0.990271261,9.009728739,6.783158221
1999-11-18,0.0376180793124908,15.6697324477,10.6697324477,20.6697324477,5.4744768592
1999-11-19,0.836383768046048,19.3620624579,14.3620624579,24.3620624579,7.209548583
1999-11-20,0.13379234164168,21.3093280233,16.3093280233,26.3093280233,3.1026451471
1999-11-21,0.394853923848039,35.2395547926,30.2395547926,40.2395547926,5.452884994
1999-11-22,0.896440822596958,12.4682021886,7.4682021886,17.4682021886,5.4011922767
1999-11-23,0.828824369217426,19.7416557372,14.7416557372,24.7416557372,4.8710760598
1999-11-24,0.100588592422336,36.9146485813,31.9146485813,41.9146485813,3.8899193839
1999-11-25,0.870061664328998,29.4100574963,24.4100574963,34.4100574963,3.9126623406
1999-11-26,0.300004825892051,27.0208205562,22.0208205562,32.0208205562,6.7382143433
1999-11-27,0.627834198947293,31.3778890483,26.3778890483,36.3778890483,7.5742678235
1999-11-28,0.66294873801072,27.013182072,22.013182072,32.013182072,4.6991063335
1999-11-29,0.490875476448427,5.103314938,0.103314938,10.103314938,7.6967497503
1999-11-30,0.850995529269984,35.216174731,30.216174731,40.216174731,4.3910319924
1999-12-01,0.25046445549723,37.6726238057,32.6726238057,42.6726238057,6.6519133637
1999-12-02,0.83962726802687,37.7655026969,32.7655026969,42.7655026969,6.9230208111
1999-12-03,0.25046445549723,37.6726238057,32.6726238057,42.6726238057,6.6519133637
1999-12-04,0.122065890505155,18.13502701,13.13502701,23.13502701,4.1927663768
1999-12-05,0.881238632232803,4.520646045,-0.479353955,9.520646045,4.9373801688
1999-12-06,0.817287097943383,27.5761433411,22.5761433411,32.5761433411,6.6025555909
1999-12-07,0.161123541647117,35.7763489056,30.7763489056,40.7763489056,4.6082728549
1999-12-08,0.122065890505155,18.13502701,13.13502701,23.13502701,4.1927663768
1999-12-09,0.0775007533486873,33.9003396221,28.9003396221,38.9003396221,5.5241917779
1999-12-10,0.824275182310055,10.6023427565,5.6023427565,15.6023427565,4.8276845792
1999-12-11,0.744602114905843,3.8521145564,-1.1478854436,8.8521145564,4.7770227289
1999-12-12,0.877229080370258,17.6531019993,12.6531019993,22.6531019993,3.7930138148
1999-12-13,0.0269744008600329,6.2549737189,1.2549737189,11.2549737189,4.0043139756
1999-12-14,0.0400044989963214,13.9508027118,8.9508027118,18.9508027118,4.6646927723
1999-12-15,0.808428834135983,38.4126488026,33.4126488026,43.4126488026,3.5869226006
1999-12-16,0.0921454808437862,25.5164602213,20.5164602213,30.5164602213,5.4493024359
1999-12-17,0.835139513884605,28.6580150947,23.6580150947,33.6580150947,3.7553713943
1999-12-18,0.189643012545588,29.9786163215,24.9786163215,34.9786163215,7.879372922
1999-12-19,0.492642700138555,1.0036540311,-3.9963459689,6.0036540311,5.7186877595
1999-12-20,0.752276381874879,2.0003092196,-2.9996907804,7.0003092196,6.2389438199
1999-12-21,0.271449287935882,4.91167197,-0.08832803,9.91167197,7.7118025797
1999-12-22,0.042545933550675,38.5732992738,33.5732992738,43.5732992738,3.9584145842
1999-12-23,0.042545933550675,38.5732992738,33.5732992738,43.5732992738,3.9584145842
1999-12-24,0.117694042899497,14.2147050332,9.2147050332,19.2147050332,3.4231001507
1999-12-25,0.648238176160794,36.7414050829,31.7414050829,41.7414050829,4.7013904941
