"DATE","PRCP","TEMP","TMIN","TMAX","WIND"
1999-10-01,0.13698584397,31.1734425277,26.1734425277,36.1734425277,7.0801540075
1999-10-02,0.13698584397,31.1734425277,26.1734425277,36.1734425277,7.0801540075
1999-10-03,0.73354483827,32.4504311755,27.4504311755,37.4504311755,7.7780587478
1999-10-04,0.82563654672,1.9492971431,-3.0507028569,6.9492971431,6.9987037086
1999-10-05,0.68679131643,22.0777358115,17.0777358115,27.0777358115,4.0822967452
1999-10-06,0.57542886162,23.8664848357,18.8664848357,28.8664848357,3.2656224661
1999-10-07,0.70687825533,22.0628150087,17.0628150087,27.0628150087,6.8875438948
1999-10-08,0.74582631801,29.5276732929,24.5276732929,34.5276732929,6.9097602153
1999-10-09,0.2306602791,35.3340131883,30.3340131883,40.3340131883,7.6851430496
1999-10-10,0.69625192365,36.8981804699,31.8981804699,41.8981804699,4.2659261271
1999-10-11,0.38087866107,2.4398985971,-2.5601014029,7.4398985971,3.1442587038
1999-10-12,0.18632151585,39.1192961205,34.1192961205,44.1192961205,6.7698289368
1999-10-13,0.56465305695,1.9034675043,-3.0965324957,6.9034675043,6.3039596688
1999-10-14,0.22149748449,30.2584463637,25.2584463637,35.2584463637,5.5926095608
1999-10-15,0.8829620937,33.0287076067,28.0287076067,38.0287076067,7.1287085123
1999-10-16,0.52842090249,19.3606492039,14.3606492039,24.3606492039,4.5878356202
1999-10-17,0.77342230197,6.7188608833,1.7188608833,11.7188608833,4.5508014557
1999-10-18,0.71515893591,36.1783753522,31.1783753522,41.1783753522,4.3073182025
1999-10-19,0.43943319513,27.1791911684,22.1791911684,32.1791911684,6.471599546
1999-10-20,0.24644183409,8.0914349388,3.0914349388,13.0914349388,7.3275726936
1999-10-21,0.89003272104,23.9428036287,18.9428036287,28.9428036287,5.1017430769
1999-10-22,0.71903463003,19.021832142,14.021832142,24.021832142,4.3985115185
1999-10-23,0.84702697794,28.2270281762,23.2270281762,33.2270281762,7.9508816481
1999-10-24,0.13144287843,11.2878347374,6.2878347374,16.2878347374,5.6691357011
1999-10-25,0.89003272104,23.9428036287,18.9428036287,28.9428036287,5.1017430769
1999-10-26,0.02508726042,15.2760577668,10.2760577668,20.2760577668,5.5108998606
1999-10-27,0.50898847104,11.7876746692,6.7876746692,16.7876746692,6.0339558725
1999-10-28,0.40706180379,37.7309768274,32.7309768274,42.7309768274,4.7566807021
1999-10-29,0.84784475079,14.2067695688,9.2067695688,19.2067695688,3.3523509321
1999-10-30,0.79286127462,32.6268905681,27.6268905681,37.6268905681,6.8034701278
1999-10-31,0.79286127462,32.6268905681,27.6268905681,37.6268905681,6.8034701278
1999-11-01,0.79286127462,32.6268905681,27.6268905681,37.6268905681,6.8034701278
1999-11-02,0.79286127462,32.6268905681,27.6268905681,37.6268905681,6.8034701278
1999-11-03,0.79286127462,32.6268905681,27.6268905681,37.6268905681,6.8034701278
1999-11-04,0.06288143031,26.5561019629,21.5561019629,31.5561019629,6.0758565769
1999-11-05,0.72214900434,0.3017711174,-4.6982288826,5.3017711174,7.1336793429
1999-11-06,0.76472582238,18.9933237713,13.9933237713,23.9933237713,5.393088016
1999-11-07,0.75366390708,36.8622081168,31.8622081168,41.8622081168,4.2748720183
1999-11-08,0.21788785521,19.6851906553,14.6851906553,24.6851906553,7.2703396059
1999-11-09,0.82674481662,37.4811981898,32.4811981898,42.4811981898,6.2777188206
1999-11-10,0.75366390708,36.8622081168,31.8622081168,41.8622081168,4.2748720183
1999-11-11,0.25377166152,5.6599373743,0.6599373743,10.6599373743,3.086667008
1999-11-12,0.76390436547,23.3204989322,18.3204989322,28.3204989322,5.1643605782
1999-11-13,0.19104372693,31.4472415764,26.4472415764,36.4472415764,4.1483441759
1999-11-14,0.80826799383,34.0424500871,29.0424500871,39.0424500871,4.1077894433
1999-11-15,0.09389258271,35.3450533375,30.3450533375,40.3450533375,3.7894097781
1999-11-16,0.38143867509,12.9534360673,7.9534360673,17.9534360673,5.670918426
1999-11-17,0.11102290353,11.0099822842,6.0099822842,16.0099822842,7.4478143251
1999-11-18,0.16675291728,13.8048573211,8.8048573211,18.8048573211,5.6963608107
1999-11-19,0.52564943817,33.5506413784,28.5506413784,38.5506413784,5.5960836629
1999-11-20,0.79393973283,25.5661997199,20.5661997199,30.5661997199,6.9321260829
1999-11-21,0.81815431158,28.4896234702,23.4896234702,33.4896234702,5.5047882437
1999-11-22,0.09544982427,10.3396145441,5.3396145441,15.3396145441,6.9190524886
1999-11-23,0.73475391735,39.231074471,34.231074471,44.231074471,7.2853063799
1999-11-24,0.82837656954,30.8462398592,25.8462398592,35.8462398592,6.9356495114
1999-11-25,0.82837656954,30.8462398592,25.8462398592,35.8462398592,6.9356495114
1999-11-26,0.82837656954,30.8462398592,25.8462398592,35.8462398592,6.9356495114
1999-11-27,0.82837656954,30.8462398592,25.8462398592,35.8462398592,6.9356495114
1999-11-28,0.82837656954,30.8462398592,25.8462398592,35.8462398592,6.9356495114
1999-11-29,0.43871243508,36.1841520853,31.1841520853,41.1841520853,5.0561884716
1999-11-30,0.7112639061,3.0427566171,-1.9572433829,8.0427566171,6.8247973472
1999-12-01,0.11672050725,14.9736944679,9.9736944679,19.9736944679,4.9076023286
1999-12-02,0.85662036666,14.2274234816,9.2274234816,19.2274234816,5.2830569651
1999-12-03,0.10764573228,25.4700142611,20.4700142611,30.4700142611,5.8448320646
1999-12-04,0.09859795227,4.6693081595,-0.3306918405,9.6693081595,5.1447151504
1999-12-05,0.73078072299,6.8490948901,1.8490948901,11.8490948901,4.8115984753
1999-12-06,0.66507358824,39.1719701607,34.1719701607,44.1719701607,4.8707418535
1999-12-07,0.8790684966,22.0138674323,17.0138674323,27.0138674323,6.8402567571
